,지점명,일시,일강수량_sum_mm,일강수량_mean_mm,일강수량_std_mm,일강수량_max_mm,평균기온_mean_c,평균풍속_mean_ms,최저기온_min_c,최고기온_max_c,최대순간풍속_max_ms,최대순간풍속향_max_deg,집중호우일수
374,강북,2014,471.5,5.125,13.676727847529339,81.5,24.917391304347827,1.824999999999999,17.1,35.3,17.7,351.6,1.0
375,강북,2015,472.5,5.135869565217392,11.916629635635646,78.5,25.355434782608693,1.9478260869565218,15.5,35.5,20.8,351.6,0.0
376,강북,2016,478.0,5.195652173913044,17.977849087467426,120.0,26.186956521739134,1.8836956521739134,16.7,37.0,19.5,340.3,2.0
377,남현,2011,1722.5,18.928571428571427,47.36434262587154,359.0,23.380219780219786,1.1461538461538465,13.0,34.1,13.2,348.8,4.0
378,남현,2012,1178.0,12.804347826086957,34.343046109125375,192.5,24.515217391304358,1.3032608695652173,14.0,36.4,20.1,351.6,6.0
379,남현,2013,879.5,9.559782608695652,24.011311710569085,144.0,24.7804347826087,1.2043478260869565,13.3,33.1,14.4,357.2,2.0
380,남현,2014,565.5,6.146739130434782,15.546198087126196,109.5,23.450549450549445,1.1538461538461544,15.4,34.0,16.8,357.2,1.0
381,남현,2015,500.5,5.440217391304348,14.02663134061092,89.5,23.967391304347817,1.2706521739130439,13.6,35.0,12.0,337.5,1.0
382,남현,2016,608.0,6.608695652173913,19.87900572487596,122.0,24.68152173913044,1.065217391304348,14.3,34.7,11.4,357.2,2.0
383,관악,2007,619.0,6.728260869565218,15.988390885140205,90.0,23.502222222222226,1.8450549450549454,13.1,32.7,12.2,359.6,1.0
384,관악,2008,851.5,9.255434782608695,20.195540603025393,105.5,22.85760869565218,1.7108695652173918,11.8,35.2,14.7,357.1,3.0
385,관악,2009,1111.0,12.076086956521738,34.95553964041744,208.0,22.615384615384617,1.7076923076923083,11.3,34.0,17.1,359.8,4.0
386,관악,2010,797.5,8.668478260869565,18.948205455043897,99.5,24.05652173913043,1.755434782608696,8.1,33.4,10.4,351.6,2.0
387,관악,2011,1635.0,18.166666666666668,46.68054234590538,348.5,23.17692307692307,1.7472527472527466,11.6,34.7,13.4,357.2,4.0
388,관악,2012,1082.0,11.89010989010989,32.204019952467135,184.0,24.223913043478266,1.8,13.4,35.9,15.3,348.8,6.0
389,관악,2013,751.0,8.16304347826087,19.849586689257606,109.5,24.604347826086965,1.9206521739130447,12.6,33.6,14.1,357.2,2.0
390,관악,2014,502.0,5.456521739130435,13.927530680119721,96.0,23.339130434782607,1.6391304347826086,15.6,34.1,12.7,357.2,1.0
391,관악,2015,395.5,4.298913043478261,12.219390954096639,85.5,23.793478260869556,1.7967391304347828,13.1,34.8,10.7,357.2,1.0
392,관악,2016,557.5,6.059782608695652,18.634990482473878,114.5,24.269565217391296,1.6184782608695658,14.1,36.0,10.5,354.4,2.0
393,영등포 ,2007,460.5,5.005434782608695,11.437237852689634,71.5,25.977011494252864,1.7511363636363633,16.4,36.3,18.0,336.6,0.0
394,영등포 ,2008,818.0,8.891304347826088,20.610973563784267,103.5,25.44942528735631,1.6724137931034486,14.4,38.0,12.8,332.9,3.0
395,영등포 ,2009,967.0,10.51086956521739,30.049499297438487,166.0,24.847252747252742,1.862637362637363,16.0,35.8,30.4,315.0,5.0
396,영등포 ,2010,734.0,7.978260869565218,19.169990433120315,93.5,26.257608695652173,1.7326086956521742,15.2,34.7,12.8,334.7,2.0
397,영등포 ,2011,1537.0,16.706521739130434,42.89612755479595,299.5,24.797802197802202,1.7197802197802192,14.2,35.4,12.5,306.6,6.0
398,영등포 ,2012,1006.5,10.940217391304348,29.042394399906044,155.0,26.139560439560437,1.8217391304347816,17.0,37.5,16.0,343.1,3.0
399,영등포 ,2013,728.5,7.918478260869565,21.658726279088743,161.5,26.36593406593406,1.4879120879120877,16.6,34.8,12.3,329.1,1.0
400,영등포 ,2014,531.5,5.7771739130434785,14.92405023584246,72.0,25.165217391304346,1.6054347826086952,17.8,35.3,11.7,343.1,0.0
401,영등포 ,2015,419.5,4.559782608695652,10.91244938593409,67.5,25.76956521739131,1.604347826086956,16.7,35.9,9.5,345.9,0.0
402,영등포 ,2016,424.5,4.614130434782608,16.25924982064218,113.5,26.673913043478255,1.2913043478260868,16.8,37.2,8.7,329.1,2.0
403,현충원,2013,816.5,8.875,24.51682815205431,166.0,25.468478260869563,1.2791208791208788,13.2,34.8,14.8,351.6,2.0
404,현충원,2014,411.0,4.516483516483516,12.077170968735127,79.0,24.211956521739125,1.106521739130434,14.3,35.5,12.6,348.8,0.0
405,현충원,2015,428.5,4.657608695652174,13.607716247466797,105.0,24.980434782608693,1.0184782608695648,12.9,35.7,9.2,345.9,1.0
406,현충원,2016,484.5,5.266304347826087,17.024134627593927,103.0,25.659782608695654,0.9032608695652175,14.4,37.0,8.9,351.6,2.0
407,강남,1997,507.0,5.510869565217392,19.14619553935328,123.0,25.597826086956513,1.7206521739130434,12.6,35.8,29.4,337.0,2.0
408,강남,1998,1435.0,15.944444444444445,43.23313105101697,350.5,24.35111111111111,1.7800000000000002,13.7,34.0,33.9,348.6,4.0
409,강남,1999,671.0,7.373626373626373,26.260721980279197,186.0,25.470329670329676,1.7285714285714275,16.0,36.8,27.7,328.5,2.0
410,강남,2000,697.0,7.576086956521739,19.532578418751147,111.5,25.824999999999992,1.7815217391304348,15.7,35.5,21.7,298.5,2.0
411,강남,2001,1054.0,11.71111111111111,34.86965921231553,280.5,25.393181818181812,1.894318181818182,15.4,36.0,13.4,346.8,2.0
412,강남,2002,972.5,10.570652173913043,30.73795498228651,202.0,25.24891304347825,2.071739130434783,14.1,38.1,17.7,352.5,4.0
413,강남,2003,1089.0,11.83695652173913,28.536183768017143,152.0,23.847826086956527,1.5206521739130432,14.9,33.4,13.1,355.5,4.0
414,강남,2004,704.5,7.657608695652174,18.038105171410564,107.5,25.378260869565214,1.7141304347826094,15.0,36.8,15.2,355.1,2.0
415,강남,2005,644.5,7.005434782608695,16.214478431263146,79.5,25.254347826086963,1.7206521739130436,15.5,37.5,14.2,311.2,0.0
416,강남,2006,1058.5,11.505434782608695,34.12070482289434,219.5,25.0945652173913,1.582608695652173,15.7,36.2,12.2,298.7,4.0
417,서초,1997,608.0,6.608695652173913,20.853073940919963,131.0,26.042391304347827,1.2434782608695651,12.9,37.1,14.6,335.1,2.0
418,서초,1998,1370.0,15.222222222222221,41.68205708271476,345.5,24.511111111111116,1.268888888888889,12.8,33.9,12.9,355.2,3.0
419,서초,1999,752.0,8.263736263736265,28.937705186154304,210.0,25.696703296703298,1.249450549450549,16.9,38.0,15.9,343.0,2.0
420,서초,2000,742.5,8.070652173913043,20.59147128497343,112.5,26.30697674418606,1.2220930232558143,15.8,37.1,14.2,335.6,3.0
421,서초,2001,1003.0,10.902173913043478,33.71847238291725,273.0,26.33804347826088,1.296739130434783,16.3,38.0,12.2,346.5,2.0
422,서초,2002,1008.0,10.956521739130435,31.194502560011358,202.0,25.14673913043479,1.472826086956522,15.4,38.1,14.6,324.8,4.0
423,서초,2003,1031.5,11.21195652173913,26.95633768123745,152.5,24.514444444444443,1.1455555555555559,15.2,34.6,10.8,320.4,3.0
424,서초,2004,706.0,7.673913043478261,17.974865660383635,103.5,25.72717391304348,1.2326086956521742,14.0,38.1,11.3,320.5,1.0
425,서초,2005,679.5,7.385869565217392,18.045592938728074,97.5,25.691304347826097,1.3358695652173906,15.8,39.7,12.4,323.3,2.0
426,서초,2006,1010.0,10.978260869565217,32.65234059593184,212.5,25.413043478260878,1.2271739130434778,14.9,37.2,13.5,329.8,4.0
427,강동,1997,249.5,2.7119565217391304,15.070025867477487,111.0,25.280434782608697,1.336956521739131,11.8,36.2,15.5,351.9,2.0
428,강동,1998,1494.0,16.6,54.142612348409195,403.5,23.544444444444444,1.495555555555555,11.1,33.0,13.7,332.1,4.0
429,강동,1999,1016.0,11.164835164835164,31.694378659056227,202.5,25.0989010989011,1.4274725274725275,15.1,37.1,17.0,355.7,5.0
430,강동,2000,767.5,8.342391304347826,20.667026526029716,127.0,25.947826086956525,1.4565217391304341,14.7,35.7,19.7,358.5,2.0
431,강동,2001,960.5,10.440217391304348,29.63364608299157,220.0,25.59,1.572222222222222,14.3,36.8,17.4,295.4,3.0
432,강동,2002,955.0,10.380434782608695,29.82507330437068,182.5,25.370652173913047,1.9434782608695647,13.4,38.4,17.8,359.1,4.0
433,강동,2003,1090.5,11.853260869565217,30.77153833768249,196.0,25.204347826086952,1.5086956521739132,15.5,36.6,12.7,357.2,4.0
434,강동,2004,727.0,7.9021739130434785,17.42854156710294,90.5,24.895652173913046,1.5076086956521744,12.2,37.7,12.3,358.9,1.0
435,강동,2005,750.5,8.157608695652174,20.287213716345345,127.0,25.13296703296704,1.6186813186813183,12.8,36.9,15.0,354.2,1.0
436,강동,2006,1077.0,11.706521739130435,33.60232463291471,236.5,24.590217391304346,1.3554347826086957,13.9,37.0,12.8,352.0,4.0
437,송파,1997,584.0,6.3478260869565215,19.167815735167483,112.5,25.996739130434786,1.8336956521739125,12.9,36.3,16.0,322.4,2.0
438,송파,1998,1341.0,14.9,41.51940117773019,338.0,24.49887640449438,2.015730337078652,14.0,34.2,15.5,350.1,4.0
439,송파,1999,651.0,7.153846153846154,22.446193974293813,153.5,25.497802197802194,1.9087912087912087,10.2,37.2,21.0,345.8,2.0
440,송파,2000,682.0,7.413043478260869,18.85363064339729,120.5,26.227173913043465,1.9130434782608692,15.6,36.1,23.2,308.8,1.0
441,송파,2001,968.5,10.527173913043478,27.73890869630112,203.0,25.759782608695645,2.0228260869565218,14.9,36.1,18.1,337.2,2.0
442,송파,2002,887.5,9.646739130434783,29.422419690750658,210.5,24.64782608695652,2.1945652173913044,14.8,37.0,19.9,353.3,4.0
443,송파,2003,1047.5,11.38586956521739,27.989509736319125,161.5,25.539560439560443,1.8065934065934064,16.2,35.2,15.0,345.7,3.0
444,송파,2004,733.5,7.9728260869565215,18.340545986701187,103.5,25.554347826086957,1.7880434782608692,14.6,37.1,15.9,345.7,2.0
445,송파,2005,665.0,7.228260869565218,18.09535382105642,122.5,25.51086956521739,1.697826086956521,15.9,37.1,14.4,353.2,1.0
446,송파,2006,1116.5,12.13586956521739,33.78008250375984,228.5,25.214285714285705,1.5098901098901099,15.4,36.2,15.9,344.8,4.0
447,강서,1997,404.0,4.391304347826087,14.844584258121357,104.0,25.189772727272725,1.9258426966292133,12.5,35.7,17.3,344.0,1.0
448,강서,1998,1270.0,14.11111111111111,34.364681517951134,241.0,23.582022471910108,2.465168539325842,13.1,33.4,20.7,303.6,6.0
449,강서,1999,890.0,9.88888888888889,35.18352986885283,247.0,24.373255813953488,2.152873563218391,15.7,34.9,24.8,340.6,2.0
450,강서,2000,660.5,7.179347826086956,19.522821461350137,115.5,24.85978260869565,2.1706521739130435,14.1,34.0,26.7,298.0,2.0
451,강서,2001,817.0,8.880434782608695,24.331543489883572,167.5,24.749438202247187,2.2157303370786514,14.9,35.9,19.5,326.0,3.0
452,강서,2002,751.5,8.168478260869565,24.148723850194006,138.5,23.601086956521748,1.3195652173913046,14.3,34.7,13.6,354.0,3.0
